review,sentiment_polarity,sentiment_label
I read the reviews saying their ear hurts and i does not believe that but now after using it i got to know it actually hurts. And bluetooth range is very short. All other things are good.READ MORE,-0.7351,negative
"Very good product, sound quality is also good. while using headphone 🎧 my ear hurts so bad, I have to remove them in an hour😔 koi sense hai iss baat kiREAD MORE",-0.2971,negative
Really amazing but pain on earsREAD MORE,-0.5105,negative
"Sound quality bad, too much noise.READ MORE",-0.5423,negative
very uncomfortable to wear it even for 2-3 hour . I will not recommend it to buy.READ MORE,-0.6128,negative
"its didn't have good bass and also connectivity problem on road when you are on moving with vehicle., another one is not clear sound when you recieve call through listener can't hear your clear voice so its not fully usable for call . moc have no effect.READ MORE",-0.8649,negative
All is goodBut ear cups are smallWith that u got pain Red coloured headset gives u more pain to earsBut blue headset has good comfort for some timeREAD MORE,-0.296,negative
Overall it is good. But while I call on whatsapp or any other calling apps my voice is not clear for others .READ MORE,-0.2086,negative
Sounds quality not good enoughREAD MORE,-0.3412,negative
Stopped working after few days. I am still trying to contact them for exchange/return...excuse i am being given is that the return window is closed.READ MORE,-0.2263,negative
Awesome product but low sound has been irritatingREAD MORE,-0.0258,negative
Don't buy this product. It imposes excess pressure on the ears. Difficult to wear even for 30 minutes.READ MORE,-0.6249,negative
"Value for money $$But mic is not so good, otherwise overall product is very goodREAD MORE",-0.1602,negative
This Bluetooth headset connectivity is Very Poor ...after 7 days my headset not working....😔😔READ MORE,-0.5256,negative
Sound quality is not clear and bass is very low and ear cups quality not goodREAD MORE,-0.554,negative
Honest review..... Sound is good 😛Base is awesome👏✊👍 maza a jayega.. But mic doesn't work properly too weak 😔READ MORE,-0.1901,negative
i am writing review after a 15 days use. sound quality and battery backup is quite good though comfort is zero.it is too tight and cushions are also not that soft. it can make your ears paining after continuous use 30 to 45 minutes. second thing that i dislike about it is volume while calling it is too low and mic is also doesn't produce enough voice that can be audible to person who is on other end. maybe this is just  my headphone's fault.but in this price segment i don't think we can expec...READ MORE,-0.1137,negative
After 1 month left side speaker stopped working. Cushions are little bit hard. Except this everything is fine.READ MORE,-0.2551,negative
Very tight high ear pain while using  Bluetooth only getting 5 metresREAD MORE,-0.5106,negative
Everything is fine but the Bluetooth connectivity has gone worse after some weeks of usage. You have to keep your mobile phone close to you for seamless experience.READ MORE,-0.5789,negative
Product worked amazingly well but just after 3 months its stopped working in one sideREAD MORE,-0.1664,negative
built quality not good it feels pain after listening some timeREAD MORE,-0.6914,negative
wrost product quality is very bad and can't Udjest in ear. ear buds are very small....  and un uncomfortable... don't buy waste of money...READ MORE,-0.353,negative
not connecting to Bluetooth waste of moneyREAD MORE,-0.4215,negative
"Nice headphone. Due to there small in size, they starts  to pain in the ear after listening for around 1 to 2 hrs. Overall a decent productREAD MORE",-0.128,negative
It's a damaged peiceREAD MORE,-0.4404,negative
"Every thing is ok , but mic has problem. Caller can't hear ur voice clearly..READ MORE",-0.4497,negative
"Primarily, i thank Flipkart for fast delivery. I think this is the only fastest means of delivery during covid. Coming to the product - it is quite good with the appearance and fantastic with the sound. But i prefer NOT TO TAKE THIS PRODUCT because while using it will create a discomfort and u will feel a little irritating and u cant use for longer than 30min . Very tight and uncomfortableREAD MORE",-0.119,negative
Very bad productREAD MORE,-0.5849,negative
☺Good for music but not good for calls..☺READ MORE,-0.4782,negative
"My ear was paining it is not comfortable and smooth Build quality is worst, sounds and bass was awesomeREAD MORE",-0.8591,negative
"The headphone is good when used with cable but when used in Bluetooth mode, there is a background noise. And it hurts in the outer ear if worn for more than one hour.READ MORE",-0.7184,negative
The product is very good but after use long time you will start to suffer earsREAD MORE,-0.5652,negative
"its very good head phone. but only one problem. if you attend a voice call, the voice is not clear to other person. rest for music its very goodREAD MORE",-0.6404,negative
"There is a big demerit of this headphone, that is when you connect your mobile phone and  open ZOOM MEETING application, the zoom app does not work properly.I mean , this headphone is not good to attend ZOOM meatings.READ MORE",-0.3412,negative
Stop working. Connection ProblemREAD MORE,-0.296,negative
It will not fit into your ears.. You will end up with ear pain.READ MORE,-0.2755,negative
"For simple listening of music is fine but doesn't work on video calling like on Google meet etc. And mic is also not up to the mark.After replacing with the service centre, they gave worst than earlier oneREAD MORE",-0.4588,negative
Not so great sound as I expected . But it's fine for the price. So tight for my ears and could not feel comfortable for longer useREAD MORE,-0.5586,negative
